,Слово,Частота
135,управління,14
136,відповідь,14
137,санкції,14
138,грудня,14
139,світі,14
140,інфляції,14
141,говорити,13
142,цін,13
143,політики,13
144,держав,13
145,осіб,13
146,активно,13
147,економіки,13
148,світу,13
149,кодексу,13
150,позиції,13
151,гривні,13
152,зрештою,13
153,дані,13
154,парламенту,13
155,робочої,13
156,набагато,13
157,української,13
158,забезпечити,13
159,документ,13
160,разі,13
161,трампа,13
162,місце,13
163,pon,13
164,чипів,13
165,дронів,13
166,нові,13
167,зробити,13
168,путіна,13
169,туреччини,13
170,вступ,13
171,перемогу,13
172,країнах,12
173,повернутися,12
174,натомість,12
175,шанси,12
176,виробництва,12
177,підтримки,12
178,пояснює,12
179,областях,12
180,світ,12
181,китаю,12
182,росіяни,12
183,саміт,12
184,туреччині,12
185,зсу,12
186,китай,12
187,росію,12
188,вважає,12
189,почали,12
190,москви,12
191,зброї,12
192,банку,12
193,2021,12
194,укрзалізниці,12
195,зміни,12
196,створення,12
197,єктів,12
198,допомога,12
199,2024,12
200,рівня,12
201,права,12
202,українські,12
203,автор,12
204,заявив,12
205,мережі,12
206,переговори,12
207,ситуації,12
208,умовах,12
209,бізнесмен,11
210,закон,11
211,міністр,11
212,вилучення,11
213,почав,11
214,відбувається,11
215,використання,11
216,десантіс,11
217,розробки,11
218,франції,11
219,системи,11
220,16,11
221,історії,11
222,зростання,11
223,сергій,11
224,придністров,11
225,працювати,11
226,світової,11
227,інтерв,11
228,працює,11
229,розвитку,11
230,листопада,11
231,обладнання,11
232,доступ,11
233,попит,11
234,обсяг,11
235,стали,11
236,голова,11
237,перше,11
238,отримала,11
239,дозволить,11
240,боєприпасів,10
241,перемоги,10
242,коаліції,10
243,обсяги,10
244,липня,10
245,виборців,10
246,банк,10
247,20,10
248,певні,10
249,зустрічі,10
250,європи,10
251,взагалі,10
252,євросоюз,10
253,часом,10
254,державних,10
255,російська,10
256,новий,10
257,путін,10
258,парламент,10
259,міллер,10
260,роль,10
261,заяви,10
262,частину,10
263,дпзку,10
264,офіційний,10
265,кандидатом,10
266,історія,10
267,альянс,10
268,відомо,10
269,міністра,10
270,ердогана,10
271,дня,10
272,ситуацію,10
273,допомогою,10
274,життя,10
275,вторгнення,10
276,ідея,10
277,згодом,10
278,попиту,10
279,кошти,10
280,важко,10
281,питань,10
282,технологій,10
283,посаду,10
284,нацбанку,10
285,молдові,10
286,користь,10
287,перемога,10
288,існує,10
289,українських,10
290,фіксованого,10
291,досвід,10
292,26,10
293,доларів,10
294,день,10
295,необхідність,9
296,рівні,9
297,момент,9
298,продавати,9
299,група,9
300,продажу,9
301,загалом,9
302,експорту,9
303,нафтогазу,9
304,розмірі,9
305,підтримка,9
306,24,9
307,забезпечення,9
308,варто,9
309,безпеки,9
310,руки,9
311,україною,9
312,публічно,9
313,флориди,9
314,політику,9
315,бізнесу,9
316,17,9
317,наступного,9
318,приватних,9
319,стає,9
320,отримати,9
321,президентських,9
322,протистояння,9
323,купувати,9
324,100,9
325,неможливо,9
326,кампанії,9
327,доларах,9
328,частина,9
329,держава,9
330,цілком,9
331,захід,9
332,військові,9
333,членство,9
334,вважають,9
335,мав,9
336,кодекс,9
337,допомоги,9
338,передавання,9
339,рука,9
340,минулого,9
341,звісно,9
342,протези,9
343,значно,9
344,правда,9
345,шуляк,9
346,сил,9
347,вартість,9
348,першому,9
349,розповідає,9
350,надходження,9
351,києві,9
352,зеленський,9
353,пропозиції,9
354,становить,9
355,контакт,9
356,землю,9
357,бік,9
358,угоди,9
359,настільки,9
360,великі,9
361,уперше,9
362,рівень,8
363,речі,8
364,долари,8
365,право,8
366,готові,8
367,постійно,8
368,чимало,8
369,надалі,8
370,громадян,8
371,російський,8
372,проблема,8
373,агресії,8
374,називають,8
375,означає,8
376,військової,8
377,президентом,8
378,жовтня,8
379,вучича,8
380,відновлення,8
381,300,8
382,друге,8
383,режиму,8
384,десантіса,8
385,стосується,8
386,мешканців,8
387,зобов,8
388,офіційно,8
389,представників,8
390,кредиту,8
391,допомогу,8
392,спп,8
393,бойових,8
394,обов,8
395,переговорів,8
396,шор,8
397,змінити,8
398,юрій,8
399,думку,8
400,працюють,8
401,період,8
402,числі,8
403,кінця,8
404,кількості,8
405,200,8
406,зустріч,8
407,діяти,8
408,російські,8
409,пам,8
410,суму,8
411,світові,8
412,кремль,8
413,підтримувати,8
414,дії,8
415,язані,8
416,потрібен,8
417,регіонах,8
418,сума,8
419,відчуття,8
420,мета,8
421,армії,8
422,закону,8
423,кандидата,8
424,дефіцит,8
425,вплив,8
426,військова,8
427,відео,8
428,дослідження,8
429,оператора,8
430,суду,8
431,українці,8
432,допомогти,8
433,протеза,8
434,коштів,8
435,політичної,7
436,станом,7
437,інформації,7
438,лідером,7
439,щодня,7
440,державної,7
441,днів,7
442,надання,7
443,мінцифри,7
444,болгарія,7
445,втратили,7
446,питанні,7
447,регіоні,7
448,менш,7
449,міністри,7
450,14,7
451,парламенті,7
452,dji,7
453,країна,7
454,стан,7
455,самостійно,7
456,представники,7
457,шлях,7
458,19,7
459,повідомила,7
460,робота,7
461,ефективно,7
462,українського,7
463,наявність,7
464,впливу,7
465,продукції,7
466,саміту,7
467,пише,7
468,ігор,7
469,причин,7
470,ризики,7
471,вирішив,7
472,бачу,7
473,володимира,7
474,кінцівок,7
475,hand,7
476,наслідок,7
477,здатна,7
478,москві,7
479,живлення,7
480,суд,7
481,можливості,7
482,резервів,7
483,мікросхем,7
484,санду,7
485,заході,7
486,російською,7
487,доступі,7
488,times,7
489,відкритому,7
490,зрозуміло,7
491,виробництво,7
492,живе,7
493,інформація,7
494,більшості,7
495,падіння,7
496,бпла,7
497,дивно,7
498,змін,7
499,залежить,7
500,членства,7
501,слова,7
502,акцій,7
503,крок,7
504,статус,7
505,імамоглу,7
506,депутати,7
507,єдиний,7
508,нового,7
509,2014,7
510,герб,7
511,систему,7
512,книга,7
513,умов,7
514,план,7
515,11,7
516,державного,7
517,національний,7
518,переважно,7
519,обмежень,7
520,робити,7
521,володимир,7
522,європа,7
523,перемогти,7
524,певний,7
525,фінансування,7
526,турецьких,7
527,2015,7
528,місяці,7
529,єврооблігацій,7
530,язки,7
531,дозволило,7
532,правди,7
533,повідомляли,7
534,разів,7
535,вирішили,7
536,стане,7
537,міноборони,7
538,отримують,7
539,євросоюзі,7
540,кремля,7
541,боротьбу,7
542,зерна,7
543,повинні,7
544,населення,7
545,швидше,7
546,часи,7
547,перевагу,7
548,голови,7
549,мереж,7
550,головна,7
551,партнерів,7
552,даних,7
553,заяв,7
554,укрнафти,7
555,інфляція,7
556,ідеї,7
557,технологію,7
558,зеленського,7
559,повністю,7
560,кандидати,7
561,процесу,6
562,редактор,6
563,штати,6
564,насправді,6
565,олігархів,6
566,збитків,6
567,тур,6
568,команда,6
569,рамках,6
570,зміну,6
571,інвестори,6
572,порівняно,6
573,світових,6
574,проведення,6
575,використовують,6
576,подія,6
577,велика,6
578,інфляцію,6
579,ціну,6
580,війною,6
581,швидко,6
582,псо,6
583,початок,6
584,українській,6
585,головною,6
586,дозволили,6
587,доведеться,6
588,сторони,6
589,багнюк,6
590,петков,6
591,йти,6
592,оон,6
593,продовольства,6
594,промисловості,6
595,сербського,6
596,дострокові,6
597,економіці,6
598,квітні,6
599,роках,6
600,вступу,6
601,протезів,6
602,йде,6
603,боротьби,6
604,свідчить,6
605,готівковий,6
606,наскільки,6
607,залишаються,6
608,думаю,6
609,трамп,6
610,особливість,6
611,успіх,6
612,поспіль,6
613,очікування,6
614,сталося,6
615,боротьба,6
616,абонентів,6
617,2020,6
618,імпорту,6
619,належить,6
620,містобудівного,6
621,стану,6
622,вето,6
623,запитання,6
624,валют,6
625,брати,6
626,третє,6
627,гуцул,6
628,фдму,6
629,термін,6
630,членом,6
631,f,6
632,місяців,6
633,перші,6
634,економіку,6
635,фактично,6
636,світла,6
637,суспільство,6
638,відповіді,6
639,мінімальна,6
640,опозиція,6
641,політиків,6
642,влах,6
643,перших,6
644,вперше,6
645,владі,6
646,криза,6
647,місцевих,6
648,порушення,6
649,невизначеність,6
650,серпня,6
651,щоразу,6
652,оборони,6
653,відключень,6
654,приклад,6
655,містобудування,6
656,кампанія,6
657,премії,6
658,язку,6
659,літаків,6
660,велику,6
661,застосування,6
662,факт,6
663,заступник,6
664,білорусі,6
665,сільськогосподарської,6
666,результати,6
667,перехід,6
668,необхідності,6
669,заходом,6
670,міжнародних,6
671,зросли,6
672,активами,6
673,заморожених,6
674,головних,6
675,дозволяє,6
676,операцій,6
677,планує,6
678,проєкту,6
679,росіян,6
680,важливо,6
681,останній,6
682,експорт,6
683,нормативно,6
684,джуканович,6
685,дають,6
686,перебуває,6
687,2018,6
688,36,6
689,спершу,6
690,економічна,6
691,оператор,6
692,військовим,6
693,західних,6
694,купити,6
695,навряд,6
696,товарів,6
697,позицію,6
698,липні,6
699,правила,6
700,сидоренко,6
701,надто,6
702,політик,6
703,обмеження,6
704,навантаження,6
705,говорили,6
706,учасників,6
707,книгу,6
708,участі,6
709,січня,6
710,артилерії,6
711,почала,6
712,29,6
713,влітку,6
714,окремі,6
715,європейський,6
716,американський,6
717,частково,6
718,статусу,6
719,турі,6
720,коаліцію,6
721,члени,6
722,соціалістів,6
723,tsmc,6
724,виплати,6
725,реформи,6
726,міністрів,6
727,twitter,6
728,40,6
729,експертів,6
730,намагається,6
731,коаліція,6
732,заявили,6
733,країну,6
734,почати,6
735,приватизації,6
736,основна,6
737,європейська,6
738,американські,6
739,інцидент,6
740,єврокомісії,6
741,сигнал,6
742,контролю,6
743,вартістю,6
744,війні,6
745,шляхи,6
746,використовувати,6
747,потреб,6
748,органів,6
749,financial,6
750,500,6
751,заводу,6
752,власності,6
753,електроенергії,6
754,продаж,6
755,петрова,5
756,хоче,5
757,21,5
758,цивільних,5
759,курсом,5
760,уряду,5
761,єдине,5
762,міжнародні,5
763,політичну,5
764,найбільші,5
765,дати,5
766,візит,5
767,відносин,5
768,руку,5
769,операції,5
770,ставку,5
771,починають,5
772,розробники,5
773,досягти,5
774,сербія,5
775,напряму,5
776,bionics,5
777,суми,5
778,інструмент,5
779,герич,5
780,сформувати,5
781,законів,5
782,полягає,5
783,розвиток,5
784,області,5
785,важливим,5
786,угорщина,5
787,газ,5
788,боротьбі,5
789,відсутня,5
790,швейцарії,5
791,вдається,5
792,відсутність,5
793,впевнений,5
794,правил,5
795,програми,5
796,провайдерів,5
797,центру,5
798,нафтогаз,5
799,наступні,5
800,рішень,5
801,березня,5
802,законопроєкту,5
803,розуміючи,5
804,випадку,5
805,оголосив,5
806,відверто,5
807,успішно,5
808,проживання,5
809,заява,5
810,щонайменше,5
811,13,5
812,трьох,5
813,український,5
814,невдовзі,5
815,впали,5
816,провайдер,5
817,змінюватися,5
818,стерлінгів,5
819,хочемо,5
820,починаючи,5
821,найкращий,5
822,складно,5
823,регулятор,5
824,варіант,5
825,валютному,5
826,значення,5
827,показник,5
828,фронту,5
829,фунтів,5
830,водночас,5
831,галузі,5
832,керівників,5
833,увійшли,5
834,світову,5
835,місцевого,5
836,оголосили,5
837,скандал,5
838,зернової,5
839,президентка,5
840,наголошує,5
841,слід,5
842,потребує,5
843,посилення,5
844,конфіскацію,5
845,партію,5
846,вузли,5
847,петров,5
848,попередні,5
849,випадків,5
850,міністерство,5
851,капіталу,5
852,рази,5
853,роблять,5
854,негативно,5
855,очікувати,5
856,подій,5
857,місяць,5
858,прив,5
859,деталь,5
860,язок,5
861,суспільства,5
862,27,5
863,приблизно,5
864,інтеграції,5
865,чорногорія,5
866,київ,5
867,хочуть,5
868,дефіциту,5
869,призначено,5
870,травні,5
871,2013,5
872,мали,5
873,червня,5
874,пропозиція,5
875,фонду,5
876,третини,5
877,мінімум,5
878,бажання,5
879,досвіду,5
880,повернення,5
881,імпорт,5
882,кінцівки,5
883,схоже,5
884,людям,5
885,реформування,5
886,міста,5
887,описує,5
888,пʼять,5
889,демократія,5
890,готовий,5
891,матимуть,5
892,комерційних,5
893,болгарський,5
894,ft,5
895,capital,5
896,фіксація,5
897,належать,5
898,основою,5
899,валюту,5
900,прагнуть,5
901,дозволяють,5
902,агресією,5
903,великих,5
904,країною,5
905,сербської,5
906,хват,5
907,дискусія,5
908,москва,5
909,жовква,5
910,наслідки,5
911,напрямку,5
912,поступово,5
913,єдиним,5
914,інвестицій,5
915,пояснив,5
916,інтересів,5
917,ринки,5
918,лишається,5
919,торгівля,5
920,групі,5
921,відкриття,5
922,25,5
923,резерви,5
924,жаль,5
925,віцепрем,5
926,провайдери,5
927,2026,5
928,кандидатів,5
929,німеччини,5
930,другому,5
931,отримувати,5
932,законодавство,5
933,майна,5
934,вересня,5
935,молдова,5
936,відповідає,5
937,дефолт,5
938,політика,5
939,партією,5
940,польща,5
941,підтримують,5
942,процесі,5
943,напевно,5
944,піде,5
945,частка,5
946,причиною,5
947,кризи,5
948,дискусії,5
949,механізму,5
950,втрати,5
951,китаєм,5
952,продовольство,5
953,настрої,5
954,існують,5
955,економічні,5
956,вплинути,5
957,дрон,5
958,демократію,5
959,найбільше,5
960,можлива,5
961,лідерів,5
962,дозвіл,5
963,арешт,5
964,призвести,5
965,замовлення,5
966,перспективі,5
967,нова,5
968,історію,5
969,повинна,5
970,хірурги,5
971,важче,4
972,депутатка,4
973,створювати,4
974,контроль,4
975,дні,4
976,зазначає,4
977,оцінки,4
978,лідери,4
979,нової,4
980,реформу,4
981,кордон,4
982,механізми,4
983,бюджету,4
984,пройти,4
985,робить,4
986,ідей,4
987,кордону,4
988,конкурентів,4
989,технології,4
990,державна,4
991,мільйони,4
992,різні,4
993,гнучкого,4
994,великий,4
995,берлінська,4
996,центрального,4
997,вивести,4
998,девальвації,4
999,починає,4
1000,гнучкості,4
1001,вимушений,4
1002,інвестиції,4
1003,gps,4
1004,офіційного,4
1005,метою,4
1006,стають,4
1007,переходу,4
1008,копію,4
1009,чернігові,4
1010,продукт,4
1011,покарання,4
1012,авторів,4
1013,відміну,4
1014,язаний,4
1015,мзс,4
1016,дійшло,4
1017,найчастіше,4
1018,2029,4
1019,організації,4
1020,апаратів,4
1021,дає,4
1022,існування,4
1023,систем,4
1024,сумнів,4
1025,позиція,4
1026,техніку,4
1027,глава,4
1028,відносини,4
1029,намагаються,4
1030,комерційні,4
1031,найбільших,4
1032,2008,4
1033,нагендер,4
1034,ворога,4
1035,фінансову,4
1036,біонічний,4
1037,пошуку,4
1038,інтереси,4
1039,середня,4
1040,державні,4
1041,мова,4
1042,перевищує,4
1043,ощадбанку,4
1044,2016,4
1045,відновити,4
1046,українців,4
1047,розповів,4
1048,розмір,4
1049,виготовляють,4
1050,університету,4
1051,показав,4
1052,технічний,4
1053,журналіст,4
1054,документа,4
1055,рістенко,4
1056,дозволила,4
1057,кілометрів,4
1058,народна,4
1059,конфісковані,4
1060,російсько,4
1061,особи,4
1062,механізм,4
1063,експортерів,4
1064,більшої,4
1065,залежність,4
1066,мала,4
1067,важливих,4
1068,очевидно,4
1069,чипи,4
1070,суверенних,4
1071,ухвалив,4
1072,реакція,4
1073,перемозі,4
1074,громадяни,4
1075,патріоти,4
1076,економіка,4
1077,місцеві,4
1078,забезпечують,4
1079,виникли,4
1080,проста,4
1081,єдиною,4
1082,60,4
1083,джо,4
1084,основні,4
1085,фінансової,4
1086,церемонії,4
1087,додати,4
1088,британії,4
1089,роками,4
1090,41,4
1091,підтримала,4
1092,підсумовує,4
1093,сербська,4
1094,сила,4
1095,xa0за,4
1096,показники,4
1097,дронами,4
1098,новина,4
1099,підприємець,4
1100,вийти,4
1101,єкти,4
1102,волонтери,4
1103,пацієнтів,4
1104,підтримує,4
1105,команди,4
1106,мавіків,4
1107,вийшла,4
1108,80,4
1109,червні,4
1110,37,4
1111,причина,4
1112,отримав,4
1113,обрання,4
1114,вища,4
1115,визнали,4
1116,вирішила,4
1117,сказали,4
1118,знає,4
1119,європравди,4
1120,язана,4
1121,принаймні,4
1122,обговорення,4
1123,випуск,4
1124,пацієнта,4
1125,справу,4
1126,боєць,4
1127,читанні,4
1128,узун,4
1129,додав,4
1130,відповідний,4
1131,підтвердив,4
1132,замінити,4
1133,міст,4
1134,виробників,4
1135,нагороду,4
1136,значну,4
1137,відрізняється,4
1138,єврооблігаціями,4
1139,кабінет,4
1140,рухи,4
1141,участю,4
1142,потреби,4
1143,зважаючи,4
1144,біонічна,4
1145,приводу,4
1146,загальних,4
1147,людині,4
1148,акціонерів,4
1149,33,4
1150,триває,4
1151,замовлень,4
1152,клієнтів,4
1153,межі,4
1154,регіональні,4
1155,гроші,4
1156,результатами,4
1157,закордонних,4
1158,язків,4
1159,директором,4
1160,експерти,4
1161,джукановича,4
1162,єднання,4
1163,показують,4
1164,піти,4
1165,малої,4
1166,укренерго,4
1167,підприємств,4
1168,gpon,4
1169,цінами,4
1170,умови,4
1171,політичному,4
1172,башкана,4
1173,точніше,4
1174,мінфін,4
1175,молдову,4
1176,політичних,4
1177,достатньо,4
1178,ердоган,4
1179,рейтинги,4
1180,обидві,4
1181,продовжуємо,4
1182,віктор,4
1183,додатково,4
1184,важливу,4
1185,незалежність,4
1186,xpon,4
1187,регіон,4
1188,домашнього,4
1189,ethernet,4
1190,зусилля,4
1191,загальну,4
1192,тему,4
1193,укртатнафти,4
1194,вихід,4
1195,складу,4
1196,простору,4
1197,реформ,4
1198,сполучені,4
1199,ракети,4
1200,запевняє,4
1201,реформа,4
1202,фінансів,4
1203,сценарій,4
1204,срср,4
1205,депутат,4
1206,мандича,4
1207,західні,4
1208,ukraine,4
1209,правління,4
1210,стабільність,4
1211,угода,4
1212,повідомив,4
1213,єбрр,4
1214,частиною,4
1215,результаті,4
1216,журі,4
1217,залишається,4
1218,владу,4
1219,наглядової,4
1220,приват,4
1221,заявила,4
1222,рівнем,4
1223,повернути,4
1224,російським,4
1225,запевняють,4
1226,єрка,4
1227,професійного,4
1228,згідно,4
1229,провокації,4
1230,будинку,4
1231,шкоди,4
1232,пояснення,4
1233,подивитися,4
1234,доходи,4
1235,комбінату,4
1236,голосування,4
1237,восени,4
1238,погашенням,4
1239,відкрито,4
1240,дипломатії,4
1241,мацик,4
1242,туреччина,4
1243,гагаузія,4
1244,безперебійного,4
1245,невідомо,4
1246,події,4
1247,проханням,4
1248,гарантії,4
1249,бачимо,4
1250,виконання,4
1251,розумів,4
1252,втратила,4
1253,парламентські,4
1254,успіху,4
1255,інвестувати,4
1256,мобільних,4
1257,склад,4
1258,продовжують,4
1259,ремонт,4
1260,зробили,4
1261,тодішній,4
1262,обладнанням,4
1263,товари,4
1264,вкрай,4
1265,70,4
1266,американці,4
1267,можливого,4
1268,різних,4
1269,150,4
1270,формування,4
1271,олігарха,4
1272,кишинів,4
1273,навесні,4
1274,європейські,4
1275,спосіб,4
1276,попередній,4
1277,валюта,4
1278,статтю,4
1279,брав,4
1280,воєнного,4
1281,альянсу,4
1282,говорять,4
1283,регіону,4
1284,ударів,4
1285,баланс,4
1286,проросійських,4
1287,річ,4
1288,ключових,4
1289,трибунал,4
1290,потреба,4
1291,кордоном,4
1292,збереження,4
1293,колишній,4
1294,користувачів,4
1295,думки,4
1296,серпні,4
1297,життєво,4
1298,знайшли,4
1299,рада,4
1300,нині,4
1301,змінюється,4
1302,пройдуть,4
1303,певних,4
1304,арма,4
1305,силу,4
1306,шукають,4
1307,відмовилися,4
1308,можливі,4
1309,відновив,4
1310,німеччині,4
1311,12,4
1312,повномасштабного,4
1313,квітня,4
1314,призначення,4
1315,шукати,4
1316,європравда,4
1317,діяльності,4
1318,додаткових,4
1319,свободу,4
1320,народу,4
1321,увагу,4
1322,отримає,4
1323,державою,4
1324,600,4
1325,технологією,4
1326,мотор,4
1327,можливий,4
1328,ініціативи,4
1329,точно,4
1330,погашення,4
1331,ляєн,4
1332,проводити,4
1333,інвесторів,4
1334,колишнього,4
1335,зими,4
1336,впевнені,4
1337,офіційним,4
1338,згоди,4
1339,мережу,4
1340,розмову,4
1341,країнам,4
1342,проводить,4
1343,останнім,4
1344,промисловість,4
1345,дер,4
1346,енергетичної,4
1347,посів,4
1348,відображає,4
1349,фон,4
1350,губернатор,4
1351,майбутнє,4
1352,виявилося,4
1353,вилучено,3
1354,труднощі,3
1355,тисячі,3
1356,залежності,3
1357,власної,3
1358,епізод,3
1359,повномасштабної,3
1360,спеціальних,3
1361,сербській,3
1362,воєнний,3
1363,пакет,3
1364,фабрики,3
1365,автокразу,3
1366,стабільності,3
1367,закупівлі,3
1368,зтр,3
1369,александар,3
1370,включаючи,3
1371,вересні,3
1372,польщу,3
1373,центральних,3
1374,погляд,3
1375,агресію,3
1376,ефективність,3
1377,розслідування,3
1378,ведуть,3
1379,майбутній,3
1380,довгий,3
1381,протезом,3
1382,насамперед,3
1383,присутність,3
1384,темою,3
1385,переваги,3
1386,мімі,3
1387,конфлікт,3
1388,детально,3
1389,етапі,3
1390,січі,3
1391,торгів,3
1392,незрозуміло,3
1393,півріччя,3
1394,номер,3
1395,друкувати,3
1396,байдена,3
1397,лондоні,3
1398,видання,3
1399,старанно,3
1400,фонди,3
1401,китайських,3
1402,критично,3
1403,століття,3
1404,доказів,3
1405,валютою,3
1406,біржі,3
1407,субсидії,3
1408,рекордного,3
1409,словом,3
1410,виробники,3
1411,зменшення,3
1412,передачу,3
1413,заявою,3
1414,кишинева,3
1415,виявився,3
1416,основними,3
1417,суттєвих,3
1418,перебувають,3
1419,голос,3
1420,витрати,3
1421,намагалася,3
1422,км,3
1423,ввп,3
1424,ризиком,3
1425,язав,3
1426,руках,3
1427,решта,3
1428,перевагою,3
1429,врегулювання,3
1430,традиційно,3
1431,вашингтона,3
1432,збільшує,3
1433,створити,3
1434,надати,3
1435,союзників,3
1436,допустити,3
1437,перспективи,3
1438,зафіксували,3
1439,колінні,3
1440,лідер,3
1441,великого,3
1442,електорат,3
1443,забути,3
1444,ердогану,3
1445,переможе,3
1446,зберігати,3
1447,впливає,3
1448,повертається,3
1449,35,3
1450,форматі,3
1451,неодноразово,3
1452,18,3
1453,колеги,3
1454,великій,3
1455,золота,3
1456,невідома,3
1457,цифра,3
1458,популярні,3
1459,волі,3
1460,партнерами,3
1461,список,3
1462,свідчать,3
1463,функції,3
1464,банки,3
1465,межах,3
1466,останніх,3
1467,введення,3
1468,виступають,3
1469,впс,3
1470,потрапили,3
1471,цілі,3
1472,питанням,3
1473,заявляв,3
1474,новини,3
1475,форумі,3
1476,зберегти,3
1477,вибір,3
1478,медіа,3
1479,ринків,3
1480,європу,3
1481,тижня,3
1482,варіанти,3
1483,зможуть,3
1484,повний,3
1485,використовували,3
1486,позбавити,3
1487,внутрішніх,3
1488,окремих,3
1489,літаки,3
1490,валютного,3
1491,агресора,3
1492,грузії,3
1493,діалогу,3
1494,перенесення,3
1495,ядерного,3
1496,посадовців,3
1497,поранених,3
1498,зрозуміти,3
1499,фабрика,3
1500,постраждали,3
1501,фактор,3
1502,часі,3
1503,спеціальні,3
1504,готівковому,3
1505,послаблення,3
1506,patriot,3
1507,альтернативи,3
1508,гелікоптери,3
1509,книги,3
1510,згадує,3
1511,привезли,3
1512,гривню,3
1513,урсула,3
1514,європейських,3
1515,поставила,3
1516,белграді,3
1517,панченко,3
1518,халаф,3
1519,обмінного,3
1520,шмигаль,3
1521,здоров,3
1522,передбачає,3
1523,кажу,3
1524,знецінення,3
1525,скасував,3
1526,набуття,3
1527,дав,3
1528,попередніх,3
1529,міжнародної,3
1530,пішов,3
1531,інфраструктуру,3
1532,аналіз,3
1533,компенсації,3
1534,зборів,3
1535,ідею,3
1536,косово,3
1537,бразилія,3
1538,партнери,3
1539,розмові,3
1540,косовом,3
1541,завершення,3
1542,атаки,3
1543,столиці,3
1544,стадії,3
1545,23,3
1546,підприємців,3
1547,протести,3
1548,земля,3
1549,донедавна,3
1550,рейтинг,3
1551,2019,3
1552,депутатом,3
1553,facebook,3
1554,показали,3
1555,делегації,3
1556,нафту,3
1557,пропаганди,3
1558,легка,3
1559,бідних,3
1560,2025,3
1561,машина,3
1562,криптовалюти,3
1563,зміцнення,3
1564,міністерства,3
1565,продовжує,3
1566,нове,3
1567,глобальну,3
1568,причини,3
1569,спроможність,3
1570,нема,3
1571,аналізу,3
1572,житомирській,3
1573,андрія,3
1574,говорить,3
1575,конкуренції,3
1576,очікує,3
1577,вірить,3
1578,компроміс,3
1579,ланет,3
1580,ставить,3
1581,створюють,3
1582,наплив,3
1583,економічного,3
1584,першу,3
1585,інформацію,3
1586,вінницькій,3
1587,абрамовича,3
1588,економічно,3
1589,важливими,3
1590,знизити,3
1591,новим,3
1592,надає,3
1593,балансу,3
1594,байден,3
1595,відповідного,3
1596,змінила,3
1597,повернувся,3
1598,провокувати,3
1599,найбільший,3
1600,визначається,3
1601,відкласти,3
1602,окремо,3
1603,захист,3
1604,функцій,3
1605,американської,3
1606,нідерланди,3
1607,ключову,3
1608,професор,3
1609,бази,3
1610,чжан,3
1611,івано,3
1612,валюті,3
1613,ладу,3
1614,підтримували,3
1615,ощадбанк,3
1616,світовій,3
1617,економічних,3
1618,пояснила,3
1619,соколовського,3
1620,доставки,3
1621,джерел,3
1622,принципи,3
1623,остаточно,3
1624,асортимент,3
1625,директора,3
1626,завдання,3
1627,боргу,3
1628,обслуговування,3
1629,грудні,3
1630,федерації,3
1631,областей,3
1632,купівлі,3
1633,критика,3
1634,перетворився,3
1635,шити,3
1636,дозволити,3
1637,порядок,3
1638,розробку,3
1639,постачати,3
1640,книзі,3
1641,інструментів,3
1642,обсягів,3
1643,виконувати,3
1644,листопаді,3
1645,підвищення,3
1646,експортно,3
1647,акції,3
1648,кроки,3
1649,000,3
1650,язують,3
1651,юанів,3
1652,фрс,3
