,Слово,Частота
183,чорногорії,20
184,інші,20
185,weekly,20
186,зокрема,20
187,гагаузії,20
188,партія,20
189,ситуація,20
190,членів,20
191,таких,19
192,росією,19
193,виборах,19
194,3,19
195,військових,19
196,між,19
197,словами,19
198,при,19
199,тут,19
200,10,19
201,нових,19
202,активи,19
203,така,19
204,перед,18
205,змі,18
206,групи,18
207,ринок,18
208,кількість,18
209,разом,18
210,50,18
211,інтернет,18
212,цих,18
213,себе,18
214,усі,18
215,проблеми,17
216,даними,17
217,поки,17
218,війна,17
219,дій,17
220,можливість,17
221,йдеться,17
222,підтримку,17
223,чому,17
224,нас,17
225,тож,17
226,євро,17
227,участь,17
228,болгарії,17
229,польщі,17
230,свою,17
231,компаній,17
232,завдяки,17
233,санкцій,16
234,потім,16
235,сфері,16
236,дрони,16
237,якої,16
238,влада,16
239,одночасно,16
240,процес,16
241,президент,16
242,роботу,16
243,людина,16
244,розширення,16
245,крім,16
246,тобто,16
247,би,16
248,просто,16
249,такі,16
250,стало,16
251,протезування,16
252,боку,16
253,європейського,16
254,торгівлі,16
255,більшість,16
256,вдалося,15
257,6,15
258,угод,15
259,сили,15
260,російської,15
261,нам,15
262,вучич,15
263,відповідно,15
264,долар,15
265,завжди,15
266,ніж,15
267,зможе,15
268,15,15
269,два,15
270,союзу,15
271,кандидат,15
272,деякі,15
273,європейської,15
274,роботи,15
275,далі,15
276,російського,15
277,суттєво,15
278,постачання,15
279,зв,15
280,знову,15
281,інфляції,14
282,бондар,14
283,esper,14
284,знайти,14
285,грудня,14
286,заходу,14
287,лютого,14
288,санкції,14
289,серед,14
290,компанія,14
291,фронт,14
292,будуть,14
293,протягом,14
294,ним,14
295,бізнес,14
296,сербії,14
297,києва,14
298,став,14
299,стати,14
300,всіх,14
301,війну,14
302,світі,14
303,великої,14
304,багатьох,14
305,останні,14
306,прем,14
307,відповідь,14
308,управління,14
309,євросоюзу,14
310,тканин,14
311,потрібно,14
312,ціна,14
313,текстиль,14
314,інтернету,14
315,можливо,14
316,оскільки,14
317,зробити,13
318,світу,13
319,тих,13
320,робочої,13
321,гривні,13
322,трампа,13
323,парламенту,13
324,путіна,13
325,економіки,13
326,кодексу,13
327,набагато,13
328,чипів,13
329,вступ,13
330,цін,13
331,активно,13
332,документ,13
333,pon,13
334,разі,13
335,єр,13
336,української,13
337,зрештою,13
338,дані,13
339,політики,13
340,держав,13
341,говорити,13
342,дронів,13
343,нові,13
344,такий,13
345,забезпечити,13
346,місце,13
347,осіб,13
348,перемогу,13
349,туреччини,13
350,той,13
351,своїх,13
352,позиції,13
353,повернутися,12
354,китай,12
355,пояснює,12
356,натомість,12
357,підтримки,12
358,виробництва,12
359,допомога,12
360,почали,12
361,га,12
362,шанси,12
363,мережі,12
364,росію,12
365,зміни,12
366,москви,12
367,країнах,12
368,заявив,12
369,росіяни,12
370,рівня,12
371,світ,12
372,саміт,12
373,переговори,12
374,туреччині,12
375,зсу,12
376,2024,12
377,китаю,12
378,нього,12
379,менше,12
380,зброї,12
381,вважає,12
382,банку,12
383,ситуації,12
384,тисяч,12
385,укрзалізниці,12
386,одним,12
387,умовах,12
388,єктів,12
389,права,12
390,2021,12
391,областях,12
392,українські,12
393,автор,12
394,утім,12
395,створення,12
396,яке,12
397,працює,11
398,попит,11
399,сергій,11
400,п,11
401,аби,11
402,пів,11
403,зростання,11
404,бізнесмен,11
405,4,11
406,найбільш,11
407,працювати,11
408,закон,11
409,відбувається,11
410,десантіс,11
411,ю,11
412,інтерв,11
413,перший,11
414,світової,11
415,листопада,11
416,три,11
417,обсяг,11
418,міністр,11
419,стали,11
420,дозволить,11
421,обладнання,11
422,другий,11
423,придністров,11
424,використання,11
425,теж,11
426,одного,11
427,перше,11
428,системи,11
429,франції,11
430,історії,11
431,розвитку,11
432,розробки,11
433,вилучення,11
434,м,11
435,отримала,11
436,доступ,11
437,голова,11
438,почав,11
439,16,11
440,день,10
441,технологій,10
442,часом,10
443,кошти,10
444,особливо,10
445,нацбанку,10
446,євросоюз,10
447,люди,10
448,ситуацію,10
449,боєприпасів,10
450,заяви,10
451,офіційний,10
452,важко,10
453,втім,10
454,ради,10
455,одна,10
456,доларів,10
457,9,10
458,фіксованого,10
459,згодом,10
460,обсяги,10
461,7,10
462,посаду,10
463,ідея,10
464,допомогою,10
465,уже,10
466,вторгнення,10
467,ердогана,10
468,коаліції,10
469,українських,10
470,користь,10
471,державних,10
472,досвід,10
473,існує,10
474,молдові,10
475,новий,10
476,міністра,10
477,перемога,10
478,історія,10
479,питань,10
480,відомо,10
481,рух,10
482,кандидатом,10
483,липня,10
484,20,10
485,взагалі,10
486,ті,10
487,26,10
488,виборців,10
489,певні,10
490,роль,10
491,російська,10
492,міллер,10
493,зустрічі,10
494,банк,10
495,альянс,10
496,путін,10
497,перемоги,10
498,європи,10
499,мало,10
500,частину,10
501,дня,10
502,свого,10
503,дпзку,10
504,попиту,10
505,життя,10
506,парламент,10
507,флориди,9
508,передавання,9
509,х,9
510,значно,9
511,мав,9
512,бізнесу,9
513,становить,9
514,надходження,9
515,кількох,9
516,стає,9
517,бік,9
518,землю,9
519,уперше,9
520,держава,9
521,17,9
522,першому,9
523,доларах,9
524,усіх,9
525,разу,9
526,цілком,9
527,вважають,9
528,підтримка,9
529,розповідає,9
530,пропозиції,9
531,група,9
532,24,9
533,військові,9
534,частина,9
535,контакт,9
536,експорту,9
537,політику,9
538,приватних,9
539,правда,9
540,такої,9
541,розмірі,9
542,загалом,9
543,публічно,9
544,безпеки,9
545,угоди,9
546,кодекс,9
547,забезпечення,9
548,продажу,9
549,вартість,9
550,яким,9
551,президентських,9
552,сьогодні,9
553,100,9
554,настільки,9
555,києві,9
556,продавати,9
557,звісно,9
558,необхідність,9
559,купувати,9
560,варто,9
561,міг,9
562,україною,9
563,сил,9
564,неможливо,9
565,йому,9
566,момент,9
567,великі,9
568,своїй,9
569,кампанії,9
570,зеленський,9
571,протези,9
572,отримати,9
573,нарешті,9
574,минулого,9
575,допомоги,9
576,нафтогазу,9
577,шуляк,9
578,тепер,9
579,наступного,9
580,дві,9
581,рівні,9
582,руки,9
583,членство,9
584,рука,9
585,ять,9
586,однією,9
587,захід,9
588,протистояння,9
589,мета,8
590,допомогти,8
591,закону,8
592,означає,8
593,числі,8
594,діяти,8
595,зустріч,8
596,кінця,8
597,8,8
598,200,8
599,суму,8
600,працюють,8
601,армії,8
602,коштів,8
603,період,8
604,мільйонів,8
605,часто,8
606,дії,8
607,оператора,8
608,російські,8
609,потрібен,8
610,зобов,8
611,змінити,8
612,мати,8
613,переговорів,8
614,кремль,8
615,громадян,8
616,офіційно,8
617,відео,8
618,стосується,8
619,спочатку,8
620,жовтня,8
621,українці,8
622,іншого,8
623,речі,8
624,нижче,8
625,внаслідок,8
626,агресії,8
627,обов,8
628,друге,8
629,проблема,8
630,право,8
631,дедалі,8
632,відновлення,8
633,військова,8
634,президентом,8
635,кредиту,8
636,готові,8
637,відчуття,8
638,300,8
639,юрій,8
640,рівень,8
641,добре,8
642,бойових,8
643,представників,8
644,наприкінці,8
645,російський,8
646,допомогу,8
647,суду,8
648,постійно,8
649,режиму,8
650,ні,8
651,сума,8
652,спп,8
653,долари,8
654,ані,8
655,дослідження,8
656,мешканців,8
657,двох,8
658,надалі,8
659,думку,8
660,вучича,8
661,язані,8
662,називають,8
663,якій,8
664,кандидата,8
665,світові,8
666,дефіцит,8
667,протеза,8
668,неї,8
669,могли,8
670,шор,8
671,чимало,8
672,десантіса,8
673,регіонах,8
674,щось,8
675,підтримувати,8
676,військової,8
677,кількості,8
678,вплив,8
679,пам,8
680,систему,7
681,живе,7
682,бачу,7
683,політичної,7
684,партнерів,7
685,питанні,7
686,москві,7
687,вирішив,7
688,собі,7
689,даних,7
690,парламенті,7
691,стане,7
692,заході,7
693,зрозуміло,7
694,нічого,7
695,державного,7
696,саміту,7
697,кандидати,7
698,змін,7
699,інша,7
700,продукції,7
701,кінцівок,7
702,повідомила,7
703,обмежень,7
704,робити,7
705,статус,7
706,членства,7
707,мікросхем,7
708,план,7
709,справді,7
710,перевагу,7
711,цим,7
712,європа,7
713,щодня,7
714,українського,7
715,же,7
716,наші,7
717,днів,7
718,герб,7
719,євросоюзі,7
720,ніколи,7
721,нового,7
722,боротьбу,7
723,можемо,7
724,повідомляли,7
725,повинні,7
726,втратили,7
727,ідеї,7
728,країна,7
729,депутати,7
730,міністри,7
731,представники,7
732,шлях,7
733,болгарія,7
734,2015,7
735,можливості,7
736,певний,7
737,доступі,7
738,укрнафти,7
739,2014,7
740,акцій,7
741,могла,7
742,більшості,7
743,відкритому,7
744,таке,7
745,живлення,7
746,ігор,7
747,володимира,7
748,резервів,7
749,інформація,7
750,деяких,7
751,14,7
752,свої,7
753,менш,7
754,отримують,7
755,зерна,7
756,язки,7
757,інфляція,7
758,книга,7
759,відносно,7
760,своїми,7
761,самостійно,7
762,наявність,7
763,станом,7
764,інформації,7
765,times,7
766,державної,7
767,надання,7
768,одне,7
769,російською,7
770,санду,7
771,перемогти,7
772,населення,7
773,лідером,7
774,11,7
775,умов,7
776,ціною,7
777,залежить,7
778,стан,7
779,часи,7
780,місяці,7
781,19,7
782,національний,7
783,здатна,7
784,hand,7
785,турецьких,7
786,голови,7
787,слова,7
788,крок,7
789,імамоглу,7
790,єдиний,7
791,падіння,7
792,вирішили,7
793,швидше,7
794,дозволило,7
795,пише,7
796,регіоні,7
797,єврооблігацій,7
798,наслідок,7
799,впливу,7
800,третій,7
801,володимир,7
802,фінансування,7
803,заяв,7
804,зеленського,7
805,суд,7
806,дивно,7
807,ризики,7
808,мінцифри,7
809,робота,7
810,ефективно,7
811,разів,7
812,такого,7
813,технологію,7
814,правди,7
815,переважно,7
816,усе,7
817,міноборони,7
818,мереж,7
819,dji,7
820,виробництво,7
821,головна,7
822,кремля,7
823,повністю,7
824,бпла,7
825,причин,7
826,члени,6
827,сигнал,6
828,проведення,6
829,окремі,6
830,активами,6
831,сільськогосподарської,6
832,єврокомісії,6
833,контролю,6
834,інцидент,6
835,участі,6
836,подія,6
837,вартістю,6
838,заявили,6
839,реформи,6
840,опозиція,6
841,запитання,6
842,вето,6
843,європейська,6
844,білорусі,6
845,війні,6
846,роках,6
847,містобудівного,6
848,українській,6
849,щоби,6
850,експертів,6
851,штати,6
852,політиків,6
853,серпня,6
854,tsmc,6
855,валют,6
856,рамках,6
857,американські,6
858,зміну,6
859,редактор,6
860,електроенергії,6
861,заходом,6
862,відповіді,6
863,джуканович,6
864,невизначеність,6
865,влітку,6
866,своїм,6
867,брати,6
868,язку,6
869,нормативно,6
870,доведеться,6
871,місцевих,6
872,заступник,6
873,залишаються,6
874,справ,6
875,заводу,6
876,наш,6
877,почати,6
878,учасників,6
879,інфляцію,6
880,влах,6
881,нашу,6
882,купити,6
883,ба,6
884,міжнародних,6
885,липні,6
886,заморожених,6
887,сталося,6
888,американський,6
889,напередодні,6
890,перших,6
891,країну,6
892,органів,6
893,вперше,6
894,гуцул,6
895,дають,6
896,нібито,6
897,приватизації,6
898,владі,6
899,третє,6
900,багнюк,6
901,готівковий,6
902,політик,6
903,говорили,6
904,січня,6
905,західних,6
906,криза,6
907,команда,6
908,статусу,6
909,економіку,6
910,світових,6
911,часу,6
912,факт,6
913,оон,6
914,квітні,6
915,використовувати,6
916,сидоренко,6
917,продовольства,6
918,протезів,6
919,спершу,6
920,війною,6
921,аніж,6
922,військовим,6
923,зовсім,6
924,псо,6
925,щоразу,6
926,процесу,6
927,велику,6
928,фдму,6
929,перші,6
930,важливо,6
931,колись,6
932,збитків,6
933,суспільство,6
934,планує,6
935,успіх,6
936,містобудування,6
937,оборони,6
938,36,6
939,росіян,6
940,власності,6
941,премії,6
942,нещодавно,6
943,мінімальна,6
944,потреб,6
945,використовують,6
946,стану,6
947,думаю,6
948,свій,6
949,світла,6
950,належить,6
951,основна,6
952,членом,6
953,імпорту,6
954,необхідності,6
955,місяців,6
956,сторони,6
957,насправді,6
958,от,6
959,навряд,6
960,боротьба,6
961,свідчить,6
962,кампанія,6
963,економіці,6
964,наскільки,6
965,велика,6
966,головною,6
967,правила,6
968,термін,6
969,financial,6
970,застосування,6
971,петков,6
972,дострокові,6
973,турі,6
974,намагається,6
975,йде,6
976,зросли,6
977,останній,6
978,перебуває,6
979,40,6
980,міністрів,6
981,таким,6
982,2018,6
983,відключень,6
984,трамп,6
985,приклад,6
986,29,6
987,європейський,6
988,соціалістів,6
989,twitter,6
990,поспіль,6
991,особливість,6
992,продаж,6
993,коаліція,6
994,почала,6
995,фактично,6
996,виплати,6
997,шляхи,6
998,дозволили,6
999,книгу,6
1000,олігархів,6
1001,коаліцію,6
1002,артилерії,6
1003,такою,6
1004,надто,6
1005,таку,6
1006,економічна,6
1007,експорт,6
1008,головних,6
1009,дозволяє,6
1010,боротьби,6
1011,порушення,6
1012,оператор,6
1013,літаків,6
1014,абонентів,6
1015,позицію,6
1016,навантаження,6
1017,500,6
1018,сербського,6
1019,ніхто,6
1020,тур,6
1021,сам,6
1022,частково,6
1023,результати,6
1024,порівняно,6
1025,товарів,6
1026,проєкту,6
1027,своєї,6
1028,хоч,6
1029,обмеження,6
1030,очікування,6
1031,інвестори,6
1032,операцій,6
1033,йти,6
1034,вступу,6
1035,початок,6
1036,2020,6
1037,своєму,6
1038,промисловості,6
1039,f,6
1040,швидко,6
1041,перехід,6
1042,ціну,6
1043,увійшли,5
1044,рази,5
1045,напрямку,5
1046,повернення,5
1047,провайдер,5
1048,2026,5
1049,правил,5
1050,хірурги,5
1051,водночас,5
1052,партію,5
1053,резерви,5
1054,досвіду,5
1055,валюту,5
1056,місцевого,5
1057,сербія,5
1058,фіксація,5
1059,скандал,5
1060,суспільства,5
1061,нова,5
1062,герич,5
1063,прагнуть,5
1064,ставку,5
1065,курсом,5
1066,призначено,5
1067,розробники,5
1068,аж,5
1069,дрон,5
1070,світову,5
1071,вплинути,5
1072,міжнародні,5
1073,москва,5
1074,молдова,5
1075,таки,5
1076,починають,5
1077,травні,5
1078,попередні,5
1079,досить,5
1080,дискусії,5
1081,втрати,5
1082,єдиним,5
1083,піде,5
1084,інтеграції,5
1085,наслідки,5
1086,випадку,5
1087,причиною,5
1088,вузли,5
1089,само,5
1090,їхніх,5
1091,описує,5
1092,провайдери,5
1093,21,5
1094,оголосив,5
1095,людям,5
1096,проживання,5
1097,центру,5
1098,березня,5
1099,пояснив,5
1100,місяць,5
1101,механізму,5
1102,інтересів,5
1103,чорногорія,5
1104,полягає,5
1105,призвести,5
1106,якому,5
1107,важливим,5
1108,основою,5
1109,сербської,5
1110,жовква,5
1111,дефолт,5
1112,матимуть,5
1113,якою,5
1114,руку,5
1115,повинна,5
1116,наступні,5
1117,агресією,5
1118,отримувати,5
1119,навколо,5
1120,цивільних,5
1121,bionics,5
1122,інвестицій,5
1123,провайдерів,5
1124,настрої,5
1125,найбільше,5
1126,петрова,5
1127,економічні,5
1128,петров,5
1129,приблизно,5
1130,політичну,5
1131,законів,5
1132,мінімум,5
1133,відсутня,5
1134,існують,5
1135,хват,5
1136,газ,5
1137,капіталу,5
1138,кожного,5
1139,рішень,5
1140,нафтогаз,5
1141,пропозиція,5
1142,дефіциту,5
1143,кризи,5
1144,відсутність,5
1145,2013,5
1146,вересня,5
1147,третини,5
1148,наших,5
1149,майна,5
1150,інструмент,5
1151,фонду,5
1152,відносин,5
1153,трьох,5
1154,країною,5
1155,боротьбі,5
1156,досягти,5
1157,негативно,5
1158,значення,5
1159,ось,5
1160,щонайменше,5
1161,скільки,5
1162,київ,5
1163,дискусія,5
1164,болгарський,5
1165,фронту,5
1166,впевнений,5
1167,наша,5
1168,фунтів,5
1169,угорщина,5
1170,уряду,5
1171,галузі,5
1172,27,5
1173,президентка,5
1174,пʼять,5
1175,починаючи,5
1176,стерлінгів,5
1177,хочемо,5
1178,реформування,5
1179,відкриття,5
1180,найкращий,5
1181,відповідає,5
1182,перспективі,5
1183,візит,5
1184,міста,5
1185,роблять,5
1186,кінцівки,5
1187,області,5
1188,причому,5
1189,швейцарії,5
1190,слід,5
1191,успішно,5
1192,частка,5
1193,подій,5
1194,зернової,5
1195,польща,5
1196,їхні,5
1197,невдовзі,5
1198,відсотків,5
1199,законодавство,5
1200,міністерство,5
1201,замовлення,5
1202,суми,5
1203,потребує,5
1204,випадків,5
1205,власне,5
1206,китаєм,5
1207,хочуть,5
1208,одно,5
1209,розвиток,5
1210,належать,5
1211,ледь,5
1212,віцепрем,5
1213,валютному,5
1214,програми,5
1215,вдається,5
1216,другому,5
1217,розуміючи,5
1218,процесі,5
1219,торгівля,5
1220,групі,5
1221,впали,5
1222,capital,5
1223,варіант,5
1224,єдине,5
1225,дозвіл,5
1226,найбільші,5
1227,сформувати,5
1228,підтримують,5
1229,напевно,5
1230,наголошує,5
1231,керівників,5
1232,схоже,5
1233,напряму,5
1234,партією,5
1235,бажання,5
1236,13,5
1237,демократія,5
1238,демократію,5
1239,поступово,5
1240,складно,5
1241,ринки,5
1242,щоправда,5
1243,відверто,5
1244,звичайно,5
1245,лишається,5
1246,німеччини,5
1247,ft,5
1248,очікувати,5
1249,арешт,5
1250,червня,5
1251,комерційних,5
1252,дозволяють,5
1253,лідерів,5
1254,можлива,5
1255,мали,5
1256,кандидатів,5
1257,якби,5
1258,дати,5
1259,політика,5
1260,готовий,5
1261,будемо,5
1262,змінюватися,5
1263,показник,5
1264,конфіскацію,5
1265,продовольство,5
1266,всього,5
1267,оголосили,5
1268,заява,5
1269,регулятор,5
1270,25,5
1271,історію,5
1272,великих,5
1273,імпорт,5
1274,український,5
1275,хоче,5
1276,операції,5
1277,жаль,5
1278,деталь,5
1279,важливі,5
1280,прив,5
1281,язок,5
1282,посилення,5
1283,законопроєкту,5
1284,американці,4
1285,нині,4
1286,стабільність,4
1287,результаті,4
1288,обладнанням,4
1289,додатково,4
1290,мережу,4
1291,малої,4
1292,виявилося,4
1293,домашнього,4
1294,наглядової,4
1295,умови,4
1296,посів,4
1297,глава,4
1298,фінансів,4
1299,останнім,4
1300,рада,4
1301,різні,4
1302,згідно,4
1303,починає,4
1304,губернатор,4
1305,робить,4
1306,проханням,4
1307,гнучкого,4
1308,підприємств,4
1309,будинку,4
1310,xpon,4
1311,зусилля,4
1312,молдову,4
1313,арма,4
1314,переходу,4
1315,політичних,4
1316,конкурентів,4
1317,колишнього,4
1318,гарантії,4
1319,чотири,4
1320,берлінська,4
1321,показники,4
1322,склад,4
1323,ворога,4
1324,безперебійного,4
1325,башкана,4
1326,мінфін,4
1327,укртатнафти,4
1328,олігарха,4
1329,пояснення,4
1330,повернути,4
1331,вимушений,4
1332,продукт,4
1333,воєнного,4
1334,зазначає,4
1335,регіону,4
1336,дозволила,4
1337,відміну,4
1338,організації,4
1339,державна,4
1340,користувачів,4
1341,гнучкості,4
1342,сценарій,4
1343,девальвації,4
1344,невідомо,4
1345,середня,4
1346,товари,4
1347,інвестувати,4
1348,вища,4
1349,мотор,4
1350,gps,4
1351,розмір,4
1352,тощо,4
1353,формування,4
1354,язаний,4
1355,офіційного,4
1356,цінами,4
1357,офіційним,4
1358,великий,4
1359,відмовилися,4
1360,дійшло,4
1361,державою,4
1362,узун,4
1363,виникли,4
1364,депутат,4
1365,приват,4
1366,народу,4
1367,місцеві,4
1368,професійного,4
1369,додав,4
1370,gpon,4
1371,віктор,4
1372,втратила,4
1373,діяльності,4
1374,гагаузія,4
1375,регіон,4
1376,складу,4
1377,статтю,4
1378,тему,4
1379,кордоном,4
1380,ukraine,4
1381,свободу,4
1382,дер,4
1383,ляєн,4
1384,точно,4
1385,народна,4
1386,інший,4
1387,ваше,4
1388,депутатка,4
1389,вам,4
1390,реформу,4
1391,європейські,4
1392,2029,4
1393,майбутнє,4
1394,оцінки,4
1395,спосіб,4
1396,покарання,4
1397,ракети,4
1398,потреба,4
1399,документа,4
1400,перемозі,4
1401,новина,4
1402,існування,4
1403,відповідний,4
1404,доходи,4
1405,підтримує,4
1406,фон,4
1407,можливого,4
1408,додаткових,4
1409,незалежність,4
1410,восени,4
1411,рейтинги,4
1412,відновити,4
1413,достатньо,4
1414,дронами,4
1415,угода,4
1416,туреччина,4
1417,важливу,4
1418,реформа,4
1419,важлива,4
1420,політичному,4
1421,російським,4
1422,нової,4
1423,мавіків,4
1424,запевняють,4
1425,центрального,4
1426,мене,4
1427,частиною,4
1428,сполучені,4
1429,стають,4
1430,можливий,4
1431,проводить,4
1432,міст,4
1433,певних,4
1434,отже,4
1435,підтримала,4
1436,пошуку,4
1437,особи,4
1438,британії,4
1439,запевняє,4
1440,відкрито,4
1441,80,4
1442,експерти,4
1443,результатами,4
1444,суверенних,4
1445,продовжуємо,4
1446,обидві,4
1447,потреби,4
1448,механізм,4
1449,російсько,4
1450,промисловість,4
1451,єднання,4
1452,згоди,4
1453,конфісковані,4
1454,додати,4
1455,основні,4
1456,шукають,4
1457,значну,4
1458,десь,4
1459,проста,4
1460,принаймні,4
1461,сказали,4
1462,економіка,4
1463,xa0за,4
1464,голосування,4
1465,заявила,4
1466,язана,4
1467,життєво,4
1468,інвесторів,4
1469,єдиною,4
1470,41,4
1471,приводу,4
1472,команди,4
1473,поруч,4
1474,стільки,4
1475,проросійських,4
1476,зважаючи,4
1477,вкрай,4
1478,тодішній,4
1479,змінюється,4
1480,впевнені,4
1481,вийти,4
1482,читанні,4
1483,навесні,4
1484,обговорення,4
1485,розумів,4
1486,закордонних,4
1487,єрка,4
1488,єкти,4
1489,реформ,4
1490,сумнів,4
1491,ethernet,4
1492,сербська,4
1493,систем,4
1494,важче,4
1495,мандича,4
1496,виготовляють,4
1497,участю,4
1498,обрання,4
1499,межі,4
1500,європравди,4
1501,знає,4
1502,події,4
1503,джукановича,4
1504,патріоти,4
1505,інакше,4
1506,державні,4
1507,рістенко,4
1508,технічний,4
1509,го,4
1510,збереження,4
1511,силу,4
1512,копію,4
1513,лідери,4
1514,кілометрів,4
1515,кордон,4
1516,експортерів,4
1517,доки,4
1518,піти,4
1519,можливі,4
1520,зробили,4
1521,технологією,4
1522,відображає,4
1523,пройдуть,4
1524,парламентські,4
1525,створювати,4
1526,шукати,4
1527,ініціативи,4
1528,ердоган,4
1529,провокації,4
1530,далеко,4
1531,техніку,4
1532,думки,4
1533,вихід,4
1534,мацик,4
1535,ударів,4
1536,європравда,4
1537,усьому,4
1538,знайшли,4
1539,розмову,4
1540,чим,4
1541,подивитися,4
1542,кишинів,4
1543,альянсу,4
1544,простору,4
1545,мобільних,4
1546,різних,4
1547,кордону,4
1548,такій,4
1549,окрім,4
1550,рівнем,4
1551,західні,4
1552,точніше,4
1553,апаратів,4
1554,бюджету,4
1555,німеччині,4
1556,країнам,4
1557,іноді,4
1558,причина,4
1559,всередині,4
1560,сила,4
1561,нагендер,4
1562,важливий,4
1563,замінити,4
1564,ідей,4
1565,дещо,4
1566,брав,4
1567,ймовірно,4
1568,трибунал,4
1569,волонтери,4
1570,12,4
1571,перевищує,4
1572,українців,4
1573,вирішила,4
1574,пацієнтів,4
1575,боєць,4
1576,комерційні,4
1577,владу,4
1578,підсумовує,4
1579,60,4
1580,реакція,4
1581,мзс,4
1582,навпаки,4
1583,біонічний,4
1584,валюта,4
1585,відносини,4
1586,позиція,4
1587,хтось,4
1588,мова,4
1589,залишається,4
1590,відрізняється,4
1591,говорять,4
1592,найчастіше,4
1593,пацієнта,4
1594,рухи,4
1595,біонічна,4
1596,людині,4
1597,справу,4
1598,механізми,4
1599,показують,4
1600,бачимо,4
1601,сказав,4
1602,біля,4
1603,триває,4
1604,річ,4
1605,37,4
1606,загальних,4
1607,найбільших,4
1608,акціонерів,4
1609,кабінет,4
1610,колишній,4
1611,повномасштабного,4
1612,язків,4
1613,своє,4
1614,залежність,4
1615,джо,4
1616,підтвердив,4
1617,інтереси,4
1618,ремонт,4
1619,зими,4
1620,клієнтів,4
1621,вийшла,4
1622,енергетичної,4
1623,пройти,4
1624,роками,4
1625,срср,4
1626,отримає,4
1627,правління,4
1628,баланс,4
1629,мала,4
1630,виконання,4
1631,технології,4
1632,визнали,4
1633,регіональні,4
1634,підприємець,4
1635,нашого,4
1636,церемонії,4
1637,фінансову,4
1638,чипи,4
1639,2008,4
1640,єврооблігаціями,4
1641,фінансової,4
1642,замовлень,4
1643,отримав,4
1644,усього,4
1645,намагаються,4
1646,інвестиції,4
1647,метою,4
1648,ваша,4
1649,університету,4
1650,забезпечують,4
1651,дипломатії,4
1652,ключових,4
1653,чернігові,4
1654,150,4
1655,розповів,4
1656,мені,4
1657,більшої,4
1658,ощадбанку,4
1659,вивести,4
1660,директором,4
1661,однієї,4
1662,дає,4
1663,призначення,4
1664,повідомив,4
1665,важливих,4
1666,нагороду,4
1667,ухвалив,4
1668,мільйони,4
1669,пізніше,4
1670,укренерго,4
1671,продовжують,4
1672,квітня,4
1673,успіху,4
1674,авторів,4
1675,2016,4
1676,комбінату,4
1677,показав,4
1678,очевидно,4
1679,десять,4
1680,єбрр,4
1681,проводити,4
1682,відновив,4
1683,погашенням,4
1684,залежно,4
1685,дні,4
1686,гроші,4
1687,червні,4
1688,виробників,4
1689,увагу,4
1690,громадяни,4
1691,загальну,4
1692,33,4
1693,серпні,4
1694,70,4
